Date Time, Monitor ID, Location ID, NO2(ppm)
20 Feb 2024 16:34,4,4,0.018
20 Feb 2024 16:35,4,4,0.021
20 Feb 2024 16:36,4,4,0.000
20 Feb 2024 16:37,4,4,0.035
20 Feb 2024 16:38,4,4,0.045
20 Feb 2024 16:39,4,4,0.011
20 Feb 2024 16:40,4,4,0.007
20 Feb 2024 16:41,4,4,0.004
20 Feb 2024 16:42,4,4,0.008
20 Feb 2024 16:43,4,4,0.013
20 Feb 2024 16:44,4,4,0.014
20 Feb 2024 16:45,4,4,0.015
20 Feb 2024 16:46,4,4,0.022
20 Feb 2024 16:47,4,4,0.030
20 Feb 2024 16:48,4,4,0.026
20 Feb 2024 16:49,4,4,0.025
20 Feb 2024 16:50,4,4,0.024
20 Feb 2024 16:51,4,4,0.030
20 Feb 2024 16:52,4,4,0.029
20 Feb 2024 16:53,4,4,0.028
20 Feb 2024 16:54,4,4,0.026
20 Feb 2024 16:55,4,4,0.027
20 Feb 2024 16:56,4,4,0.026
20 Feb 2024 16:57,4,4,0.033
20 Feb 2024 16:58,4,4,0.031
20 Feb 2024 16:59,4,4,0.035
20 Feb 2024 17:00,4,4,0.036
20 Feb 2024 17:01,4,4,0.032
20 Feb 2024 17:02,4,4,0.030
20 Feb 2024 17:03,4,4,0.030
20 Feb 2024 17:04,4,4,0.030
20 Feb 2024 17:05,4,4,0.030
20 Feb 2024 17:06,4,4,0.028
20 Feb 2024 17:07,4,4,0.031
20 Feb 2024 17:08,4,4,0.030
20 Feb 2024 17:09,4,4,0.029
20 Feb 2024 17:10,4,4,0.033
20 Feb 2024 17:11,4,4,0.029
20 Feb 2024 17:12,4,4,0.029
20 Feb 2024 17:13,4,4,0.030
20 Feb 2024 17:14,4,4,0.035
20 Feb 2024 17:15,4,4,0.032
20 Feb 2024 17:16,4,4,0.031
20 Feb 2024 17:17,4,4,0.030
20 Feb 2024 17:18,4,4,0.030
20 Feb 2024 17:19,4,4,0.031
20 Feb 2024 17:20,4,4,0.030
20 Feb 2024 17:21,4,4,0.029
20 Feb 2024 17:22,4,4,0.031
20 Feb 2024 17:23,4,4,0.031
20 Feb 2024 17:24,4,4,0.031
20 Feb 2024 17:25,4,4,0.032
20 Feb 2024 17:26,4,4,0.044
20 Feb 2024 17:27,4,4,0.036
20 Feb 2024 17:28,4,4,0.031
20 Feb 2024 17:29,4,4,0.032
20 Feb 2024 17:30,4,4,0.034
20 Feb 2024 17:31,4,4,0.036
20 Feb 2024 17:32,4,4,0.037
20 Feb 2024 17:33,4,4,0.041
20 Feb 2024 17:34,4,4,0.051
20 Feb 2024 17:35,4,4,0.036
20 Feb 2024 17:36,4,4,0.030
20 Feb 2024 17:37,4,4,0.032
20 Feb 2024 17:38,4,4,0.036
20 Feb 2024 17:39,4,4,0.056
20 Feb 2024 17:40,4,4,0.036
20 Feb 2024 17:41,4,4,0.023
20 Feb 2024 17:42,4,4,0.023
20 Feb 2024 17:43,4,4,0.038
20 Feb 2024 17:44,4,4,0.035
20 Feb 2024 17:45,4,4,0.033
20 Feb 2024 17:46,4,4,0.038
